project_id,project_type,location,budget,planned_duration_days,current_progress_pct,time_elapsed_pct,progress_efficiency,resource_availability,project_complexity,weather_impact,timeline_pressure,delay_days,additional_cost_usd,progress_variance,labor_availability,weather_risk_location,material_cost_factor
PROJ_0058,bridge_construction,Pune,21286631.69,697,50.4,33.3,0.749,0.799,0.455,0.48,0.0,33.6,1230092.0,0.171,0.9,0.7,1.05
PROJ_0059,highway_construction,Bangalore,16939321.95,462,65.0,50.8,0.777,0.863,0.396,0.512,0.0,24.0,1055526.5,0.142,0.9,0.6,1.05
PROJ_0060,bridge_construction,Kolkata,30056817.83,576,82.4,16.2,0.506,0.799,0.491,0.619,0.0,42.4,2652029.09,0.662,0.7,0.9,0.95
PROJ_0061,highway_construction,Ahmedabad,20369467.25,693,11.9,39.6,0.667,0.779,0.405,0.622,0.277,35.0,1233967.65,-0.277,0.8,0.8,0.98
PROJ_0062,residential_building,Bangalore,2048308.11,195,65.4,37.7,0.796,0.876,0.204,0.607,0.0,27.0,340129.48,0.277,0.9,0.6,1.05
PROJ_0063,bridge_construction,Delhi,23102043.71,902,46.7,11.2,0.84,0.911,0.47,0.408,0.0,17.2,528886.65,0.355,0.9,0.8,1.0
PROJ_0064,highway_construction,Mumbai,16949487.33,630,18.8,16.4,0.729,0.841,0.367,0.596,0.0,21.0,677391.89,0.024,0.8,0.9,1.1
PROJ_0065,highway_construction,Hyderabad,12627668.3,497,36.4,26.0,0.577,0.757,0.378,0.585,0.0,28.2,859547.28,0.105,0.8,0.7,1.0
PROJ_0066,commercial_building,Hyderabad,10973215.68,327,37.0,23.7,0.534,0.852,0.308,0.4,0.0,27.1,1089454.6,0.133,0.8,0.7,1.0
PROJ_0067,commercial_building,Ahmedabad,6450751.0,369,16.7,77.7,0.651,0.78,0.298,0.418,0.911,36.6,766944.4,-0.611,0.8,0.8,0.98
PROJ_0068,residential_building,Hyderabad,3463035.35,215,51.2,29.3,0.733,0.815,0.222,0.659,0.0,33.2,641346.99,0.219,0.8,0.7,1.0
PROJ_0069,industrial_facility,Delhi,31964753.49,1153,28.9,75.5,0.704,0.849,0.563,0.635,0.766,43.1,1433111.95,-0.466,0.9,0.8,1.0
PROJ_0070,residential_building,Delhi,2684181.85,179,31.3,79.4,0.559,0.887,0.214,0.414,0.781,28.4,511060.31,-0.481,0.9,0.8,1.0
PROJ_0071,residential_building,Bangalore,3707040.39,202,46.1,29.3,0.566,0.781,0.2,0.337,0.0,26.3,579399.32,0.168,0.9,0.6,1.05
PROJ_0072,highway_construction,Bangalore,11572701.17,559,37.9,32.7,0.734,0.843,0.385,0.463,0.0,21.4,530208.31,0.052,0.9,0.6,1.05
PROJ_0073,bridge_construction,Ahmedabad,23629358.04,825,37.0,65.3,0.587,0.748,0.457,0.472,0.283,34.6,1188663.25,-0.283,0.8,0.8,0.98
PROJ_0074,commercial_building,Delhi,6911993.88,372,58.9,58.8,0.668,0.853,0.301,0.64,0.0,28.0,624034.26,0.001,0.9,0.8,1.0
PROJ_0075,industrial_facility,Ahmedabad,58094006.7,831,17.3,32.5,0.705,0.783,0.583,0.46,0.152,25.2,2116468.47,-0.152,0.8,0.8,0.98
PROJ_0076,residential_building,Chennai,3392017.07,194,55.9,46.0,0.533,0.762,0.2,0.69,0.0,30.3,635427.16,0.099,0.8,0.8,1.0
PROJ_0077,highway_construction,Delhi,12069232.34,480,62.4,70.1,0.617,0.896,0.359,0.722,0.377,44.5,1344786.14,-0.077,0.9,0.8,1.0
PROJ_0078,commercial_building,Chennai,10515880.97,339,54.9,21.5,0.663,0.751,0.305,0.381,0.0,20.3,753388.91,0.334,0.8,0.8,1.0
PROJ_0079,commercial_building,Delhi,7341186.06,355,17.1,20.8,0.698,0.802,0.268,0.596,0.036,36.6,907515.1,-0.036,0.9,0.8,1.0
PROJ_0080,highway_construction,Hyderabad,17470582.6,671,57.3,55.9,0.796,0.855,0.401,0.673,0.0,34.2,1068055.09,0.014,0.8,0.7,1.0
PROJ_0081,residential_building,Chennai,3497840.86,214,12.9,80.0,0.609,0.727,0.23,0.591,0.971,45.1,882113.51,-0.671,0.8,0.8,1.0
PROJ_0082,industrial_facility,Ahmedabad,58183463.88,931,75.8,68.5,0.548,0.862,0.557,0.603,0.0,48.7,3647828.88,0.072,0.8,0.8,0.98
PROJ_0083,residential_building,Chennai,2692968.77,222,79.6,27.7,0.567,0.81,0.22,0.627,0.0,34.6,503671.79,0.519,0.8,0.8,1.0
PROJ_0084,commercial_building,Mumbai,7174378.4,470,56.6,10.5,0.752,0.793,0.272,0.773,0.0,23.9,437838.87,0.461,0.8,0.9,1.1
PROJ_0085,bridge_construction,Pune,22232479.74,909,72.7,54.8,0.894,0.828,0.432,0.538,0.0,32.9,966138.77,0.179,0.9,0.7,1.05
PROJ_0086,industrial_facility,Chennai,48292044.84,772,20.8,62.8,0.742,0.88,0.591,0.548,0.42,29.8,2240665.89,-0.42,0.8,0.8,1.0
PROJ_0087,commercial_building,Chennai,9876020.28,301,76.1,63.2,0.507,0.841,0.302,0.417,0.0,28.0,1101694.5,0.129,0.8,0.8,1.0
PROJ_0088,bridge_construction,Pune,20983563.69,654,52.6,74.3,0.885,0.89,0.448,0.576,0.517,33.3,1280177.28,-0.217,0.9,0.7,1.05
PROJ_0089,residential_building,Pune,2234057.23,228,50.5,17.1,0.877,0.842,0.189,0.516,0.0,19.3,227102.34,0.334,0.9,0.7,1.05
PROJ_0090,bridge_construction,Pune,27849572.07,686,77.7,49.8,0.548,0.858,0.479,0.701,0.0,27.1,1318637.79,0.279,0.9,0.7,1.05
PROJ_0091,highway_construction,Ahmedabad,13820732.44,544,31.2,48.5,0.718,0.782,0.345,0.523,0.173,42.2,1286982.19,-0.173,0.8,0.8,0.98
PROJ_0092,highway_construction,Chennai,16704769.65,601,53.9,25.8,0.507,0.822,0.394,0.45,0.0,32.7,1090507.29,0.28,0.8,0.8,1.0
PROJ_0093,highway_construction,Ahmedabad,17825149.56,545,49.6,60.6,0.54,0.794,0.369,0.695,0.11,37.8,1486654.87,-0.11,0.8,0.8,0.98
PROJ_0094,residential_building,Ahmedabad,3335434.59,229,40.6,18.9,0.664,0.85,0.213,0.594,0.0,19.4,338468.26,0.216,0.8,0.8,0.98
PROJ_0095,commercial_building,Delhi,8516564.68,370,46.4,56.0,0.639,0.839,0.303,0.552,0.096,25.9,716012.45,-0.096,0.9,0.8,1.0
PROJ_0096,highway_construction,Delhi,15583120.32,671,26.3,32.3,0.549,0.814,0.385,0.552,0.06,38.4,1069835.58,-0.06,0.9,0.8,1.0
PROJ_0097,highway_construction,Chennai,21240510.61,589,35.9,67.4,0.549,0.764,0.386,0.667,0.316,41.3,1785290.33,-0.316,0.8,0.8,1.0
PROJ_0098,commercial_building,Kolkata,7316331.9,436,11.1,58.9,0.475,0.74,0.28,0.54,0.478,36.0,725265.09,-0.478,0.7,0.9,0.95
PROJ_0099,industrial_facility,Chennai,63467721.05,1105,63.6,42.2,0.602,0.836,0.554,0.507,0.0,39.8,2745751.18,0.214,0.8,0.8,1.0
PROJ_0100,highway_construction,Chennai,15881447.12,620,17.6,76.5,0.733,0.753,0.398,0.577,0.889,33.3,1021607.41,-0.589,0.8,0.8,1.0
PROJ_0101,highway_construction,Chennai,11224180.14,493,10.8,51.4,0.511,0.808,0.343,0.49,0.406,51.8,1415382.51,-0.406,0.8,0.8,1.0
PROJ_0102,commercial_building,Kolkata,6093822.1,417,44.8,26.1,0.562,0.811,0.288,0.552,0.0,35.2,616718.27,0.186,0.7,0.9,0.95
PROJ_0103,highway_construction,Bangalore,18079504.9,506,48.5,26.9,0.666,0.882,0.368,0.366,0.0,22.6,968217.39,0.216,0.9,0.6,1.05
PROJ_0104,commercial_building,Pune,9278710.01,305,69.7,45.8,0.811,0.763,0.269,0.388,0.0,16.7,610228.46,0.239,0.9,0.7,1.05
PROJ_0105,residential_building,Ahmedabad,2274637.64,230,48.3,38.7,0.695,0.891,0.2,0.756,0.0,31.5,373117.21,0.096,0.8,0.8,0.98
PROJ_0106,commercial_building,Hyderabad,9703430.98,324,54.3,35.4,0.724,0.795,0.274,0.562,0.0,19.4,697466.69,0.189,0.8,0.7,1.0
PROJ_0107,industrial_facility,Bangalore,62112137.23,876,32.0,63.2,0.66,0.84,0.568,0.295,0.312,45.1,3838065.87,-0.312,0.9,0.6,1.05
PROJ_0108,highway_construction,Delhi,14845642.5,540,62.1,51.5,0.653,0.764,0.384,0.554,0.0,23.1,760926.73,0.106,0.9,0.8,1.0
PROJ_0109,residential_building,Pune,2748922.17,160,57.4,47.8,0.824,0.827,0.206,0.368,0.0,15.5,319368.39,0.097,0.9,0.7,1.05
PROJ_0110,industrial_facility,Chennai,66666965.88,1066,39.1,57.0,0.621,0.844,0.565,0.505,0.179,43.2,3241130.58,-0.179,0.8,0.8,1.0
PROJ_0111,commercial_building,Delhi,12063783.21,312,16.1,70.3,0.557,0.889,0.278,0.539,0.843,28.8,1339647.24,-0.543,0.9,0.8,1.0
PROJ_0112,residential_building,Kolkata,2476296.6,230,58.1,49.1,0.589,0.757,0.218,0.413,0.0,21.7,279691.03,0.089,0.7,0.9,0.95
PROJ_0113,commercial_building,Mumbai,8314335.21,336,62.0,33.6,0.745,0.781,0.316,0.479,0.0,25.1,745949.15,0.284,0.8,0.9,1.1
PROJ_0114,highway_construction,Chennai,16579598.3,636,69.1,51.2,0.797,0.791,0.377,0.551,0.0,26.3,822171.29,0.178,0.8,0.8,1.0
PROJ_0115,bridge_construction,Bangalore,35677901.04,807,71.7,41.9,0.572,0.9,0.499,0.513,0.0,32.4,1717125.16,0.299,0.9,0.6,1.05
PROJ_0116,commercial_building,Kolkata,8289519.75,417,14.7,47.4,0.479,0.762,0.3,0.469,0.327,37.6,897188.28,-0.327,0.7,0.9,0.95
PROJ_0117,highway_construction,Kolkata,19765310.54,548,77.8,18.9,0.448,0.738,0.383,0.846,0.0,48.7,2108361.43,0.59,0.7,0.9,0.95
PROJ_0118,commercial_building,Ahmedabad,6239645.68,381,62.5,21.9,0.745,0.826,0.288,0.713,0.0,37.4,735579.99,0.406,0.8,0.8,0.98
PROJ_0119,commercial_building,Hyderabad,10078324.28,371,40.4,79.9,0.694,0.788,0.282,0.589,0.695,34.1,1111272.58,-0.395,0.8,0.7,1.0
PROJ_0120,bridge_construction,Delhi,26990907.15,933,65.3,57.4,0.649,0.882,0.438,0.541,0.0,37.0,1284205.36,0.079,0.9,0.8,1.0
PROJ_0121,commercial_building,Mumbai,7614338.53,443,62.9,16.3,0.526,0.796,0.303,0.449,0.0,31.5,649640.71,0.466,0.8,0.9,1.1
PROJ_0122,commercial_building,Delhi,10308387.64,346,60.5,29.2,0.732,0.905,0.276,0.559,0.0,32.3,1156040.99,0.313,0.9,0.8,1.0
PROJ_0123,industrial_facility,Kolkata,48477375.16,744,15.7,52.7,0.522,0.733,0.59,0.573,0.37,54.8,4282840.71,-0.37,0.7,0.9,0.95
PROJ_0124,residential_building,Hyderabad,3173573.36,168,12.2,64.8,0.767,0.791,0.24,0.627,0.527,39.2,887622.58,-0.527,0.8,0.7,1.0
PROJ_0125,bridge_construction,Delhi,34542639.06,799,81.2,26.0,0.644,0.84,0.491,0.777,0.0,32.6,1690824.56,0.552,0.9,0.8,1.0
PROJ_0126,industrial_facility,Pune,58110146.74,833,30.6,14.4,0.71,0.848,0.58,0.488,0.0,38.5,3224161.12,0.162,0.9,0.7,1.05
PROJ_0127,industrial_facility,Bangalore,63119308.86,1109,23.8,39.5,0.569,0.836,0.576,0.42,0.156,46.1,3146333.41,-0.156,0.9,0.6,1.05
PROJ_0128,industrial_facility,Bangalore,44604805.57,864,87.2,48.9,0.659,0.877,0.54,0.306,0.0,38.2,2369941.37,0.384,0.9,0.6,1.05
PROJ_0129,bridge_construction,Pune,19620101.11,699,40.8,66.7,0.7,0.771,0.457,0.393,0.259,28.5,959059.09,-0.259,0.9,0.7,1.05
PROJ_0130,residential_building,Kolkata,2113556.55,174,11.4,63.1,0.452,0.823,0.234,0.561,0.517,51.2,747413.2,-0.517,0.7,0.9,0.95
PROJ_0131,highway_construction,Hyderabad,18141565.82,604,30.2,11.8,0.585,0.876,0.382,0.594,0.0,25.3,912944.67,0.184,0.8,0.7,1.0
PROJ_0132,commercial_building,Ahmedabad,6576352.56,300,65.4,77.0,0.641,0.821,0.298,0.403,0.416,42.9,1128296.43,-0.116,0.8,0.8,0.98
PROJ_0133,commercial_building,Bangalore,12581165.01,471,43.8,76.4,0.764,0.794,0.291,0.46,0.627,41.1,1316353.56,-0.327,0.9,0.6,1.05
PROJ_0134,highway_construction,Delhi,10520872.23,681,73.0,60.6,0.707,0.819,0.37,0.767,0.0,24.2,449376.35,0.123,0.9,0.8,1.0
PROJ_0135,residential_building,Mumbai,3547113.17,193,21.6,27.7,0.555,0.833,0.237,0.652,0.061,43.9,965164.12,-0.061,0.8,0.9,1.1
PROJ_0136,bridge_construction,Hyderabad,24345050.91,731,48.7,17.1,0.599,0.83,0.438,0.479,0.0,27.5,1099077.87,0.316,0.8,0.7,1.0
PROJ_0137,bridge_construction,Pune,21859341.37,862,34.6,26.6,0.542,0.84,0.447,0.72,0.0,27.6,840896.67,0.08,0.9,0.7,1.05
PROJ_0138,residential_building,Bangalore,2248726.51,207,69.2,65.0,0.758,0.796,0.205,0.612,0.0,33.8,440894.13,0.042,0.9,0.6,1.05
PROJ_0139,industrial_facility,Bangalore,49932321.42,1018,21.6,68.5,0.649,0.828,0.562,0.307,0.469,29.3,1726033.82,-0.469,0.9,0.6,1.05
PROJ_0140,highway_construction,Ahmedabad,20305978.68,595,18.3,71.6,0.74,0.761,0.37,0.77,0.833,54.4,2226783.07,-0.533,0.8,0.8,0.98
PROJ_0141,industrial_facility,Ahmedabad,32692457.27,1045,83.4,32.0,0.496,0.758,0.553,0.427,0.0,41.1,1542772.16,0.514,0.8,0.8,0.98
PROJ_0142,residential_building,Bangalore,3730116.97,210,79.2,17.5,0.582,0.91,0.223,0.612,0.0,32.6,695484.65,0.617,0.9,0.6,1.05
PROJ_0143,highway_construction,Pune,14897166.92,520,12.3,42.8,0.89,0.798,0.387,0.74,0.305,39.5,1359911.0,-0.305,0.9,0.7,1.05
PROJ_0144,industrial_facility,Pune,51154624.01,761,32.4,71.3,0.814,0.842,0.597,0.521,0.689,46.5,3750775.75,-0.389,0.9,0.7,1.05
PROJ_0145,residential_building,Ahmedabad,3038387.21,191,58.4,58.0,0.544,0.849,0.225,0.695,0.0,26.9,513217.02,0.003,0.8,0.8,0.98
PROJ_0146,industrial_facility,Mumbai,65515302.85,814,39.7,24.6,0.77,0.789,0.555,0.479,0.0,24.6,2377086.23,0.151,0.8,0.9,1.1
PROJ_0147,bridge_construction,Chennai,22052843.4,682,43.3,63.9,0.706,0.765,0.43,0.645,0.206,43.3,1681108.87,-0.206,0.8,0.8,1.0
PROJ_0148,commercial_building,Mumbai,10128560.71,370,22.7,35.8,0.794,0.78,0.293,0.594,0.131,28.6,940766.17,-0.131,0.8,0.9,1.1
PROJ_0149,highway_construction,Delhi,14994501.13,553,76.0,68.5,0.625,0.867,0.375,0.703,0.0,38.1,1238114.72,0.075,0.9,0.8,1.0
PROJ_0150,highway_construction,Mumbai,19250631.51,501,48.3,42.9,0.539,0.776,0.394,0.633,0.0,34.5,1590879.43,0.054,0.8,0.9,1.1
PROJ_0151,industrial_facility,Delhi,35544613.7,1032,62.0,72.1,0.677,0.803,0.536,0.452,0.4,35.5,1465999.67,-0.1,0.9,0.8,1.0
PROJ_0152,highway_construction,Bangalore,18653536.31,475,13.4,26.9,0.561,0.875,0.373,0.398,0.135,41.3,1947678.64,-0.135,0.9,0.6,1.05
PROJ_0153,residential_building,Bangalore,1904706.56,149,11.2,50.7,0.748,0.808,0.216,0.528,0.395,25.0,383121.14,-0.395,0.9,0.6,1.05
PROJ_0154,commercial_building,Ahmedabad,9282508.36,449,35.5,68.8,0.51,0.762,0.285,0.461,0.333,49.6,1230103.16,-0.333,0.8,0.8,0.98
PROJ_0155,commercial_building,Bangalore,11149359.65,367,79.9,50.6,0.697,0.889,0.296,0.561,0.0,36.1,1314510.59,0.293,0.9,0.6,1.05
PROJ_0156,highway_construction,Hyderabad,21723923.18,466,31.5,36.7,0.685,0.772,0.373,0.459,0.052,27.9,1559816.74,-0.052,0.8,0.7,1.0
PROJ_0157,industrial_facility,Bangalore,44885131.98,994,52.1,55.5,0.714,0.91,0.568,0.336,0.034,21.8,1182338.16,-0.034,0.9,0.6,1.05
PROJ_0158,commercial_building,Pune,11107005.47,397,56.2,38.8,0.845,0.86,0.294,0.654,0.0,32.7,1098867.62,0.175,0.9,0.7,1.05
PROJ_0159,highway_construction,Mumbai,15906068.84,475,38.7,74.2,0.696,0.816,0.36,0.807,0.655,49.1,1974326.3,-0.355,0.8,0.9,1.1
PROJ_0160,industrial_facility,Mumbai,55929847.27,747,77.1,26.9,0.611,0.84,0.596,0.375,0.0,46.2,4153514.82,0.502,0.8,0.9,1.1
PROJ_0161,commercial_building,Mumbai,11937185.92,308,69.5,15.0,0.529,0.796,0.317,0.535,0.0,32.1,1490016.73,0.546,0.8,0.9,1.1
PROJ_0162,residential_building,Delhi,2970912.24,205,88.2,48.1,0.796,0.816,0.232,0.645,0.0,33.9,590802.85,0.401,0.9,0.8,1.0
PROJ_0163,industrial_facility,Ahmedabad,41833443.77,812,19.7,38.4,0.626,0.858,0.551,0.367,0.188,31.0,1916966.58,-0.188,0.8,0.8,0.98
PROJ_0164,industrial_facility,Hyderabad,32280264.27,1045,20.2,70.5,0.729,0.813,0.561,0.555,0.803,31.2,1157170.7,-0.503,0.8,0.7,1.0
PROJ_0165,commercial_building,Delhi,10618434.6,408,14.6,45.9,0.84,0.852,0.276,0.647,0.313,33.4,1043266.05,-0.313,0.9,0.8,1.0
PROJ_0166,bridge_construction,Delhi,18925358.37,702,50.8,78.8,0.675,0.888,0.423,0.472,0.58,29.8,964511.14,-0.28,0.9,0.8,1.0
PROJ_0167,highway_construction,Ahmedabad,19527055.59,561,14.8,41.8,0.78,0.791,0.374,0.668,0.27,33.7,1409523.86,-0.27,0.8,0.8,0.98
